Old ID,New ID,Machine Name (English),Department
PM0001,SUR-001,Protective Film Applicator 3M 1645,SURFACE
PM0002,SUR-002,Conventional Polisher Toro-x-2S,SURFACE
PM0003,SUR-003,Conventional Polisher Toro-x-2S,SURFACE
PM0004,SUR-004,Conventional Polisher Toro-x-2S,SURFACE
PM0005,SUR-005,"Conventional Polisher Toro-X-2S, 2-head, second-hand",SURFACE
PM0006,SUR-006,Laser Marking Machine Lens-engrarer-Lc,SURFACE
PM0007,SUR-007,Polisher Torilab,SURFACE
PM0008,SUR-008,Polisher Torilab,SURFACE
PM0009,SUR-009,"Blocking Oven D-Blocker-01-900-24, manual",SURFACE
PM0010,SUR-010,"Blocking Oven semi-automatic, SPL-2014",SURFACE
PM0011,SUR-011,Polisher CCP-Swift,SURFACE
PM0012,SUR-012,Flash-Plus,SURFACE
PM0013,SUR-013,Flash-Plus,SURFACE
SM0001,SUR-014,Chiller,SURFACE
SM0002,SUR-015,Air conditioner,SURFACE
SM0003,SUR-016,Air conditioner,SURFACE
SM0004,SUR-017,Air conditioner,SURFACE
SM0005,SUR-018,Exhaust Fan 40 CFM,SURFACE
PM0019,TNT-001,Tinting Machine 12-cylinder,TINT
PM0020,TNT-002,Tinting Machine 12-cylinder,TINT
PM0021,TNT-003,Tinting Machine 12-cylinder,TINT
PM0022,TNT-004,Tinting Machine 12-cylinder,TINT
PM0023,TNT-005,"Tinting Machine 12-cylinder, timer control",TINT
PM0024,TNT-006,Tinting Machine CANTON CT51001-2 12-cylinder,TINT
SM0006,TNT-007,Exhaust Fan 6000 CFM,TINT
PM0026,TNT-008,Exhaust Fan 6000 CFM,TINT
SM0007,HC-001,Lens Abrasion Tester BLD-323,HC
SM0008,HC-002,"Industrial Dehumidifier YDA-890E, small",HC
PM0029,HC-003,Single-Tank Ultrasonic Cleaner SUP6028,HC
PM0030,HC-004,Coating machine,HC
PM0031,HC-005,OVEN (Medium),HC
PM0032,HC-006,OVEN (Medium),HC
PM0033,HC-007,OVEN (Medium),HC
PM0034,HC-008,OVEN (Medium),HC
PM0035,HC-009,Clean table,HC
PM0036,HC-010,Hot plate stirrer,HC
PM0037,HC-011,DI water machine,HC
SM0009,HC-012,Chiller,HC
SM0010,HC-013,Chiller,HC
SM0011,HC-014,Air purifier,HC
SM0012,HC-015,Air purifier,HC
PM0042,HC-016,Refrigerator,HC
SM0013,HC-017,Air conditioner,HC
